neuron1,neuron2,neuron3,neuron4,neuron5,neuron6,neuron7,neuron8,neuron9,neuron10,neuron11,neuron12,neuron13,neuron14,neuron15,neuron16,neuron17
2.867860818,1.173312336,48.46958073,2.039773618,2.114964162,1.955662161,30.30065655,3.965699406,3.839532221,3.755137561,3.744375826,3.506484838,2.734471942,14.99364591,2.029153484,2.924076724,3.593711534
2.928607981,1.190587753,50.04787416,2.070501204,2.147957376,1.993328234,30.33180894,3.970372264,3.846045903,3.773120987,3.756695181,3.527725105,2.742118439,15.23550174,2.110574507,2.942484955,3.647095404
2.951689071,1.210836807,50.80516047,2.116238578,2.187605874,2.033118334,30.49167735,3.990621319,3.928174934,3.780059474,3.764766482,3.679947017,2.771996414,15.25022833,2.132381181,2.968256479,3.713789842
2.997568047,1.212252825,51.58481986,2.138045252,2.295081624,2.047703317,30.50583753,4.115372485,3.98594846,3.784732333,3.771988173,3.727100409,2.787997415,16.10295424,2.203465274,3.001108091,3.776944235
3.046279058,1.232077074,51.5958648,2.179251369,2.328782847,2.11722979,31.05482762,4.203023986,4.039190729,3.794644457,3.991470929,3.765899296,2.866728003,16.29383344,2.23107762,3.046562262,3.799175714
3.078847468,1.262379854,52.12729627,2.217200646,2.352147141,2.151072616,31.09560893,4.259523096,4.106876379,3.831036114,4.015543232,3.811636671,2.894481952,16.36095268,2.273699756,3.122460815,3.813902299
3.093998858,1.266486306,52.31831707,2.244812993,2.386981178,2.228245585,31.66314886,4.309366922,4.126275822,3.917979606,4.036358693,3.852559585,2.931864822,16.85981574,2.318021112,3.14908195,3.835567371
3.174003863,1.293390644,52.44575867,2.351863937,2.397742913,2.276956596,32.57336509,4.328199958,4.172721206,4.041881162,4.052642897,3.869126993,2.946449805,17.19158871,2.343226229,3.19127928,3.890508861
3.19453612,1.309958052,55.12528912,2.36319208,2.413460711,2.283045473,32.63071381,4.433834885,4.188155799,4.060855801,4.214776934,3.905801853,2.971230116,17.20943053,2.349173503,3.20402344,4.005914311
3.238857477,1.329923903,55.63080747,2.385140355,2.461605316,2.355970389,33.52507064,4.471076153,4.300021204,4.159977046,4.375070147,3.960318538,3.033110093,17.39606168,2.359510433,3.226396521,4.079264032
3.333730669,1.340119231,55.78274618,2.418558375,2.474491077,2.386981178,34.40937375,4.552638777,4.307526099,4.184049348,4.410753795,4.044713198,3.101786956,17.58354243,2.388538798,3.251318434,4.20174957
3.370405529,1.349748152,56.26051058,2.445745916,2.502386628,2.423939242,34.50424694,4.64524634,4.351705853,4.234742784,4.44615424,4.104327547,3.108017434,17.84295689,2.462879732,3.339677943,4.216192952
3.486802191,1.378776516,56.3334355,2.460472501,2.569505871,2.459764492,34.65321201,4.814743669,4.360060358,4.289542673,4.459464807,4.19693511,3.181933562,17.93400683,2.465286962,3.403965151,4.307101293
3.563550355,1.397043146,57.15600023,2.517962823,2.586356482,2.533397417,34.66878821,4.848020087,4.410045786,4.519787164,4.640573481,4.254991839,3.208696298,18.66283119,2.481287963,3.424922214,4.357086721
3.5830914,1.417717005,57.46950656,2.540477506,2.609862377,2.555345693,34.81676207,4.893332656,4.578410301,4.531256908,4.64680396,4.261505521,3.29323256,18.8306293,2.558460932,3.446162481,4.460314417
3.603340455,1.424372289,57.79816429,2.575736349,2.622464936,2.583382845,34.85881779,4.923493835,4.620749232,4.607863471,4.651901624,4.390787944,3.314614429,19.45353552,2.565116216,3.503511201,4.469943338
3.651909865,1.447311777,58.36329699,2.586639686,2.644979619,2.630819441,35.06966284,5.059431542,4.705851901,4.617492391,4.657848898,4.506618199,3.332031447,19.68009836,2.610003979,3.519653804,4.494582048
3.7263924,1.453683857,58.63248197,2.655599752,2.687743356,2.641581176,36.1728823,5.168181708,4.748898842,4.635334216,4.809646005,4.512990279,3.399292292,19.70162183,2.615384847,3.549814982,4.562975707
3.747774269,1.455807884,59.52981244,2.656166159,2.700487516,2.648236459,36.60717495,5.206980595,4.765607852,4.762067807,4.820832545,4.59271208,3.471650801,20.017677,2.703885958,3.563833558,4.564391725
3.852559585,1.47860577,59.64394347,2.675707204,2.711815658,2.662963044,36.7623705,5.308225866,4.82677982,4.796052234,5.057024312,4.624147675,3.558311089,20.31433273,2.764774723,3.621748686,4.571330212
3.926334111,1.496447594,60.6017379,2.707426003,2.732489518,2.746508094,37.31999831,5.363167356,4.859631433,4.937087605,5.066794834,4.658698509,3.593145127,20.33713062,2.770155591,3.637749687,4.652326429
3.953946458,1.520095091,62.59719016,2.726259039,2.774545246,2.772562821,37.58989129,5.611678478,4.943459685,5.058015524,5.311765911,4.739836328,3.634209642,20.33982105,2.780209317,3.707559364,4.658132102
3.993736558,1.528874401,63.30250862,2.767889962,2.78842222,2.799467159,38.03735291,5.629945107,4.994436326,5.095398394,5.316297168,4.802141111,3.640156917,20.40240904,2.788705424,3.73035725,4.711091167
4.043438782,1.53510488,63.31454477,2.791112654,2.806830451,2.827504311,38.35071765,5.660106286,5.003215636,5.225388826,5.326917301,4.942468473,3.674990955,20.53268267,2.85214302,3.736870932,4.791237774
4.06482065,1.545300208,63.51774332,2.830477948,2.819008204,2.851576613,38.96399495,5.738978476,5.076706959,5.549515297,5.340227868,5.002649229,3.73672933,20.63548556,2.87040965,3.771421766,4.916413746
4.166632329,1.564133244,63.84753387,2.869843243,2.8345844,2.882587403,39.89219461,5.753988265,5.09270796,5.572313183,5.461014185,5.100354456,3.842789062,21.12004685,2.88556104,3.839107416,4.9685232
4.218600182,1.575602988,63.8976609,2.887685067,2.856391074,2.895614766,40.1143678,5.995985704,5.096389606,5.593695052,5.565233094,5.234592942,3.849444346,21.15884574,2.900287625,3.862188506,4.983108183
4.261930326,1.581267059,64.8615442,2.923510317,2.894198748,2.954662708,40.12725356,5.999808952,5.187014744,5.602899167,5.576702838,5.254133987,3.885552799,21.36006186,2.911332564,3.878897515,5.054192276
4.276515309,1.588063945,64.89524542,2.933280839,2.952821885,3.00578095,40.14764422,6.004198607,5.242522641,5.798026418,5.578260458,5.272259015,3.891641675,21.39730313,2.961601195,3.912173933,5.149490273
4.318995843,1.63068608,64.93192029,2.971513319,2.963725222,3.020365933,40.2497391,6.019774803,5.322952451,5.812753003,5.584349334,5.345608736,3.954371263,21.42066742,2.98751432,3.9732043,5.17795223
4.322677489,1.635075735,65.32713085,3.022773163,2.980717435,3.026171606,40.63631195,6.0354926,5.375769915,5.819974694,5.589163795,5.3825668,4.0129944,21.71718155,2.997284843,4.005347904,5.198909294
4.335138445,1.639748594,65.450466,3.043447023,3.014277057,3.044155032,41.74307145,6.204706725,5.400267022,5.835267686,5.612811292,5.58562375,4.038341118,22.46328132,3.01215303,4.033101852,5.228787269
4.512990279,1.665944923,66.38801137,3.064545688,3.026171606,3.083945132,42.0489313,6.259506614,5.48211285,5.854242324,5.624705841,5.595111069,4.087760139,22.48013193,3.040190182,4.045846012,5.24238104
4.578835106,1.683645145,67.05835419,3.117929558,3.043588625,3.128124886,42.75368335,6.279047659,5.515247666,5.885253113,5.700745996,5.637733205,4.15077293,22.76305228,3.150639569,4.078414421,5.297464131
4.62131564,1.707434244,67.18820302,3.147807534,3.073183396,3.159135676,43.86242527,6.397568348,5.561126643,6.096947772,5.805248109,5.65883187,4.190138224,22.84716374,3.159843685,4.112965255,5.408196722
4.791520977,1.710549483,67.37596698,3.160976499,3.089892406,3.230786176,44.03135619,6.429003942,5.737987264,6.103886259,5.828895606,5.66605356,4.256266255,23.40266752,3.185048801,4.142984832,5.475174363
4.815734881,1.755437247,67.53045452,3.278505975,3.107309425,3.238432672,45.25677798,6.511557779,5.798451223,6.11110795,5.84036535,5.714764572,4.314606188,23.48621257,3.216201193,4.166773931,5.490608957
4.873225203,1.771013442,69.68903203,3.469951579,3.138461816,3.255424885,45.57311636,6.543984586,5.813744215,6.116205614,5.971346995,5.742093715,4.373512527,24.13828875,3.230644574,4.204581606,5.581375697
4.906926427,1.785881629,69.81576562,3.486235784,3.153330003,3.273549913,45.79543115,6.54908225,5.842630978,6.124843322,6.056591265,5.875057785,4.412169813,24.62837251,3.237441459,4.267877601,5.613944106
4.988630653,1.790271284,70.02165461,3.535229999,3.170322216,3.283037232,45.81001613,6.593403607,5.973187818,6.131357004,6.083920408,5.888509954,4.440773372,24.90123914,3.296489401,4.319987055,5.673416853
5.009870919,1.809245922,70.11964304,3.571621656,3.220449246,3.318296075,45.93306808,6.631919291,5.994286483,6.139711509,6.097089374,5.947133091,4.510441447,24.99823635,3.302719879,4.364733217,5.7328896
5.022615079,1.810945144,70.25487274,3.686177495,3.248911203,3.340810758,46.01533871,6.71942919,6.026996494,6.147074802,6.101337427,6.003065793,4.526725652,25.37135704,3.350156475,4.395177599,5.784291045
5.041164912,1.818025233,70.82949275,3.733755693,3.275815541,3.35298851,46.06079288,6.911157998,6.072025859,6.158827749,6.108134313,6.054042433,4.557878043,25.46736305,3.358227776,4.41514345,5.815585038
5.043855346,1.826521339,70.97265215,3.766465703,3.286577276,3.381450468,46.65070589,6.932256663,6.112382366,6.265029083,6.117763234,6.060697717,4.604323426,26.09890698,3.381875273,4.479997065,6.03464299
5.080671809,1.868577068,71.10080176,3.778077049,3.298471826,3.439790401,46.90912914,6.968081913,6.20583954,6.350414955,6.130790597,6.259931419,4.673425094,26.1806112,3.391220991,4.507892615,6.107992711
5.136746113,1.896897423,71.19043569,3.804698184,3.307817543,3.524893069,47.04251801,7.21871706,6.22580539,6.456049882,6.234018294,6.351689371,4.729499398,26.22195892,3.452959366,4.602624205,6.129232978
5.191970806,1.916296867,71.34039197,3.847320319,3.360351803,3.532256362,47.17165883,7.222823512,6.238407949,6.479697379,6.289101385,6.357495044,4.775236773,26.70411298,3.46046426,4.626413304,6.15330528
5.212786268,1.935837912,71.38343891,3.914156358,3.374511981,3.551939009,47.44141022,7.231886026,6.268569127,6.498247212,6.348432531,6.429853553,4.78061764,26.78751643,3.467119544,4.66832743,6.364150328
5.244363464,1.943484408,71.97108629,3.932989395,3.44375525,3.629111978,48.62109464,7.2536927,6.300854333,6.536196489,6.359760673,6.502495265,4.869118752,26.78978206,3.51540575,4.687302068,6.404223631
5.262771696,2.001541138,72.03197506,3.969947459,3.479297297,3.663804414,48.97368306,7.262047205,6.407905277,6.559702384,6.378876913,6.604023741,4.876906849,27.37742944,3.544150911,4.741677151,6.451235422
5.291516857,2.006355598,72.14837172,4.000391841,3.513848131,3.670318096,49.0722379,7.434093365,6.515522629,6.580801049,6.442456111,6.615635086,4.930007516,28.29600017,3.558027886,4.772263135,6.466528414
5.316580371,2.045720892,72.28006137,4.033385056,3.527441901,3.6866023,49.1911834,7.446837525,6.564800048,6.742935085,6.528125187,6.705693817,4.936237995,28.82573242,3.619341456,4.836691944,6.517363452
5.373645888,2.04713691,72.4494171,4.043155578,3.539619654,3.751314313,49.29894235,7.500221396,6.581792261,6.755962449,6.722119624,6.786690035,4.958611076,29.08245645,3.687168707,4.950539774,6.54271017
5.400408624,2.055774619,73.04598539,4.065103854,3.551797407,3.758536004,50.63212309,7.520045645,6.587456332,6.77918514,6.747466342,6.791646097,5.049661019,29.26568915,3.696656027,4.980842555,6.544409392
5.507034763,2.08451978,73.69777838,4.089317758,3.579126551,3.771138562,50.77768972,7.547233186,6.679072683,6.972896373,6.770547432,6.900113059,5.116497059,29.57098258,3.704302523,5.013694167,6.582641872
5.525301393,2.09174147,73.88525913,4.103336334,3.600508419,3.792803634,50.9991549,7.555729293,6.749023962,7.046812502,6.78074276,6.912290812,5.172996168,29.70054821,3.750606304,5.028703956,6.61591829
5.541302394,2.120203428,74.74832197,4.126842229,3.626138341,3.808096626,51.81973721,7.85167701,6.790513283,7.058140644,6.803540646,6.94556723,5.215051896,29.72532852,3.798326104,5.053201064,6.637866566
5.581658901,2.129549145,75.56762986,4.186314976,3.657432334,3.830186504,52.10704722,7.87079325,6.844888366,7.239674124,6.910166785,6.964258665,5.243089048,29.81453764,3.80837983,5.076282153,6.668735753
5.615360124,2.133655597,75.93820171,4.22964512,3.669185282,3.851285169,53.24566712,7.996110824,6.885528076,7.249586248,7.059556662,7.012261668,5.288543219,29.87486,3.831177716,5.147507848,6.671142983
5.638441214,2.172454484,76.42347101,4.246495732,3.693257584,3.872808639,53.37013508,8.018059099,6.920362113,7.258931966,7.19237913,7.274508161,5.344900727,29.88703775,3.873375046,5.192962019,6.710225074
5.653734206,2.183216219,76.85932128,4.277223318,3.720445125,3.903819428,53.83897857,8.038166552,6.960152213,7.503336635,7.248311832,7.30622696,5.482820859,29.93914721,3.907784278,5.213494277,6.775645096
5.737420857,2.220174283,77.11958535,4.307242895,3.850860363,3.957628104,55.8402365,8.093108042,6.978560444,7.509425512,7.253975903,7.40025054,5.489334541,30.4875709,3.91429796,5.22807926,6.782300379
5.777210956,2.231219222,77.37191972,4.331315197,3.862754913,4.038765923,55.90636453,8.205681456,7.110816505,7.522594477,7.321519952,7.448395145,5.50122909,30.58527612,3.920103633,5.234876145,6.911441201
5.809779366,2.237024895,78.37488512,4.393903183,3.916138783,4.109566812,55.927888,8.233718608,7.169722845,7.535338637,7.346725068,7.490309271,5.556312182,30.94282061,3.924068483,5.26631174,6.965533081
5.81969149,2.257132348,78.48250247,4.411461804,3.927608527,4.123160583,56.15544206,8.272375893,7.188839085,7.565924621,7.503053431,7.520187247,5.578118856,30.97666344,3.996851797,5.331448558,6.989463781
